month,neighbourhood,review_sum
2018-10,La Nova Esquerra de l'Eixample,31026
2018-10,La Prosperitat,247
2018-10,La Sagrada Família,40177
2018-10,La Sagrera,1191
2018-10,La Salut,2588
2018-10,La Teixonera,418
2018-10,La Trinitat Vella,47
2018-10,La Vall d'Hebron,89
2018-10,La Verneda i La Pau,1424
2018-10,La Vila Olímpica,4767
2018-10,Les Corts,4886
2018-10,Les Tres Torres,477
2018-10,Montbau,372
2018-10,Navas,1913
2018-10,Nou Barris,203
2018-10,Pedralbes,580
2018-10,Porta,748
2018-10,Provençals del Poblenou,2992
2018-10,Sant Andreu,0
2018-10,Sant Andreu de Palomar,1634
2018-10,Sant Antoni,31800
2018-10,Sant Genís dels Agudells,509
2018-10,Sant Gervasi - Galvany,6477
2018-10,Sant Gervasi - la Bonanova,863
2018-10,Sant Martí,255
2018-10,Sant Martí de Provençals,2738
2018-10,Sant Pere/Santa Caterina,13779
2018-10,Sants-Montjuïc,32964
2018-10,Sarrià,1335
2018-10,Sarrià-Sant Gervasi,5
2018-10,Torre Baró,345
2018-10,Trinitat Nova,120
2018-10,Turó de la Peira - Can Peguera,466
2018-10,Vallcarca i els Penitents,2660
2018-10,Verdum - Los Roquetes,713
2018-10,Vila de Gràcia,36330
2018-10,Vilapicina i la Torre Llobeta,1272
2018-10,el Fort Pienc,18577
2018-11,Baró de Viver,78
2018-11,Camp d'en Grassot i Gràcia Nova,10498
2018-11,Can Baro,1820
2018-11,Carmel,1929
2018-11,Ciutat Vella,576
2018-11,Diagonal Mar - La Mar Bella,3751
2018-11,Dreta de l'Eixample,64130
2018-11,Eixample,2293
2018-11,El Baix Guinardó,4269
2018-11,El Besòs i el Maresme,5029
2018-11,El Bon Pastor,89
2018-11,El Born,12786
2018-11,El Camp de l'Arpa del Clot,7616
2018-11,El Clot,4308
2018-11,El Coll,1437
2018-11,El Congrés i els Indians,481
2018-11,El Gòtic,35941
2018-11,El Poble-sec,41032
2018-11,El Poblenou,14430
2018-11,El Putget i Farró,4170
2018-11,El Raval,41554
2018-11,Glòries - El Parc,10282
2018-11,Gràcia,415
2018-11,Guinardó,4823
2018-11,Horta,1181
2018-11,Horta-Guinardó,73
2018-11,L'Antiga Esquerra de l'Eixample,24931
2018-11,La Barceloneta,6032
2018-11,La Font d'en Fargues,121
2018-11,La Guineueta - Canyelles,400
2018-11,La Maternitat i Sant Ramon,4278
2018-11,La Nova Esquerra de l'Eixample,31398
2018-11,La Prosperitat,254
2018-11,La Sagrada Família,40791
2018-11,La Sagrera,1298
2018-11,La Salut,2641
2018-11,La Teixonera,339
2018-11,La Trinitat Vella,38
2018-11,La Vall d'Hebron,98
2018-11,La Verneda i La Pau,1437
2018-11,La Vila Olímpica,4829
2018-11,Les Corts,4837
2018-11,Les Tres Torres,492
2018-11,Montbau,388
2018-11,Navas,1910
2018-11,Nou Barris,128
2018-11,Pedralbes,603
2018-11,Porta,662
2018-11,Provençals del Poblenou,3128
2018-11,Sant Andreu,0
2018-11,Sant Andreu de Palomar,1571
2018-11,Sant Antoni,31459
2018-11,Sant Genís dels Agudells,521
2018-11,Sant Gervasi - Galvany,6736
2018-11,Sant Gervasi - la Bonanova,953
2018-11,Sant Martí,264
2018-11,Sant Martí de Provençals,2805
2018-11,Sant Pere/Santa Caterina,13477
2018-11,Sants-Montjuïc,34202
2018-11,Sarrià,1291
2018-11,Sarrià-Sant Gervasi,5
2018-11,Torre Baró,355
2018-11,Trinitat Nova,128
2018-11,Turó de la Peira - Can Peguera,470
2018-11,Vallcarca i els Penitents,2749
2018-11,Verdum - Los Roquetes,722
2018-11,Vila de Gràcia,37513
2018-11,Vilapicina i la Torre Llobeta,1339
2018-11,el Fort Pienc,18011
2018-12,Baró de Viver,85
2018-12,Camp d'en Grassot i Gràcia Nova,10866
2018-12,Can Baro,1619
2018-12,Carmel,2001
2018-12,Ciutat Vella,601
2018-12,Diagonal Mar - La Mar Bella,3783
2018-12,Dreta de l'Eixample,67504
2018-12,Eixample,2276
2018-12,El Baix Guinardó,4119
2018-12,El Besòs i el Maresme,5299
2018-12,El Bon Pastor,95
2018-12,El Born,12463
2018-12,El Camp de l'Arpa del Clot,7735
2018-12,El Clot,4514
2018-12,El Coll,1530
2018-12,El Congrés i els Indians,460
2018-12,El Gòtic,36168
2018-12,El Poble-sec,41491
2018-12,El Poblenou,14530
2018-12,El Putget i Farró,4270
2018-12,El Raval,42476
2018-12,Glòries - El Parc,10386
2018-12,Gràcia,424
2018-12,Guinardó,4853
2018-12,Horta,1180
2018-12,Horta-Guinardó,59
2018-12,L'Antiga Esquerra de l'Eixample,25554
2018-12,La Barceloneta,6123
2018-12,La Font d'en Fargues,53
2018-12,La Guineueta - Canyelles,393
2018-12,La Maternitat i Sant Ramon,4091
2018-12,La Nova Esquerra de l'Eixample,32025
2018-12,La Prosperitat,252
2018-12,La Sagrada Família,41394
2018-12,La Sagrera,1321
2018-12,La Salut,2748
2018-12,La Teixonera,449
2018-12,La Trinitat Vella,43
2018-12,La Vall d'Hebron,105
2018-12,La Verneda i La Pau,1508
2018-12,La Vila Olímpica,4991
2018-12,Les Corts,5256
2018-12,Les Tres Torres,505
2018-12,Montbau,363
2018-12,Navas,1526
2018-12,Nou Barris,99
2018-12,Pedralbes,603
2018-12,Porta,578
2018-12,Provençals del Poblenou,3086
2018-12,Sant Andreu,0
2018-12,Sant Andreu de Palomar,1370
2018-12,Sant Antoni,32664
2018-12,Sant Genís dels Agudells,526
2018-12,Sant Gervasi - Galvany,6968
2018-12,Sant Gervasi - la Bonanova,978
2018-12,Sant Martí,270
2018-12,Sant Martí de Provençals,2668
2018-12,Sant Pere/Santa Caterina,13579
2018-12,Sants-Montjuïc,35355
2018-12,Sarrià,1147
2018-12,Sarrià-Sant Gervasi,5
2018-12,Torre Baró,357
2018-12,Trinitat Nova,136
2018-12,Turó de la Peira - Can Peguera,479
2018-12,Vallcarca i els Penitents,2814
2018-12,Verdum - Los Roquetes,757
2018-12,Vila de Gràcia,37495
2018-12,Vilapicina i la Torre Llobeta,1387
2018-12,el Fort Pienc,18557
2019-01,Baró de Viver,91
2019-01,Camp d'en Grassot i Gràcia Nova,10450
2019-01,Can Baro,1453
2019-01,Carmel,1780
2019-01,Ciutat Vella,603
2019-01,Diagonal Mar - La Mar Bella,3740
2019-01,Dreta de l'Eixample,66835
2019-01,Eixample,2188
2019-01,El Baix Guinardó,4249
2019-01,El Besòs i el Maresme,4540
2019-01,El Bon Pastor,88
2019-01,El Born,11947
2019-01,El Camp de l'Arpa del Clot,7276
2019-01,El Clot,4438
2019-01,El Coll,1481
2019-01,El Congrés i els Indians,485
2019-01,El Gòtic,34217
2019-01,El Poble-sec,40912
2019-01,El Poblenou,13922
2019-01,El Putget i Farró,3973
2019-01,El Raval,41123
2019-01,Glòries - El Parc,9989
2019-01,Gràcia,427
2019-01,Guinardó,4626
2019-01,Horta,1121
2019-01,Horta-Guinardó,49
2019-01,L'Antiga Esquerra de l'Eixample,24281
2019-01,La Barceloneta,5197
2019-01,La Font d'en Fargues,54
2019-01,La Guineueta - Canyelles,327
2019-01,La Maternitat i Sant Ramon,4010
2019-01,La Nova Esquerra de l'Eixample,31450
2019-01,La Prosperitat,249
2019-01,La Sagrada Família,40737
2019-01,La Sagrera,1301
2019-01,La Salut,2569
2019-01,La Teixonera,368
2019-01,La Trinitat Vella,44
2019-01,La Vall d'Hebron,116
2019-01,La Verneda i La Pau,1192
2019-01,La Vila Olímpica,4993
2019-01,Les Corts,5151
2019-01,Les Tres Torres,487
2019-01,Montbau,357
2019-01,Navas,1442
2019-01,Nou Barris,76
2019-01,Pedralbes,531
2019-01,Porta,584
2019-01,Provençals del Poblenou,3194
2019-01,Sant Andreu,1
2019-01,Sant Andreu de Palomar,1227
2019-01,Sant Antoni,31165
2019-01,Sant Genís dels Agudells,535
2019-01,Sant Gervasi - Galvany,6399
2019-01,Sant Gervasi - la Bonanova,1023
2019-01,Sant Martí,166
2019-01,Sant Martí de Provençals,2551
2019-01,Sant Pere/Santa Caterina,12223
2019-01,Sants-Montjuïc,34227
2019-01,Sarrià,1150
2019-01,Sarrià-Sant Gervasi,5
2019-01,Torre Baró,364
2019-01,Trinitat Nova,141
2019-01,Turó de la Peira - Can Peguera,435
2019-01,Vallcarca i els Penitents,2381
2019-01,Verdum - Los Roquetes,785
2019-01,Vila de Gràcia,37483
2019-01,Vilapicina i la Torre Llobeta,1390
2019-01,el Fort Pienc,17912
2019-02,Baró de Viver,98
2019-02,Camp d'en Grassot i Gràcia Nova,10349
2019-02,Can Baro,1468
2019-02,Carmel,1625
2019-02,Ciutat Vella,614
2019-02,Diagonal Mar - La Mar Bella,3673
2019-02,Dreta de l'Eixample,67308
2019-02,Eixample,2147
2019-02,El Baix Guinardó,3847
2019-02,El Besòs i el Maresme,4476
2019-02,El Bon Pastor,95
2019-02,El Born,12109
2019-02,El Camp de l'Arpa del Clot,7315
2019-02,El Clot,3880
2019-02,El Coll,1342
2019-02,El Congrés i els Indians,471
2019-02,El Gòtic,34327
2019-02,El Poble-sec,40382
2019-02,El Poblenou,13700
2019-02,El Putget i Farró,3828
2019-02,El Raval,40582
2019-02,Glòries - El Parc,9905
2019-02,Gràcia,431
2019-02,Guinardó,4894
2019-02,Horta,959
2019-02,Horta-Guinardó,50
2019-02,L'Antiga Esquerra de l'Eixample,24133
2019-02,La Barceloneta,5239
2019-02,La Font d'en Fargues,55
2019-02,La Guineueta - Canyelles,343
2019-02,La Maternitat i Sant Ramon,4112
2019-02,La Nova Esquerra de l'Eixample,31756
