month,neighbourhood,price_mean
2018-07,La Teixonera,47.4
2018-07,La Trinitat Vella,36.857142857142854
2018-07,La Vall d'Hebron,36.0
2018-07,La Verneda i La Pau,36.05882352941177
2018-07,La Vila Olímpica,193.18072289156626
2018-07,Les Corts,80.175
2018-07,Les Tres Torres,112.5
2018-07,Montbau,31.066666666666666
2018-07,Navas,46.123456790123456
2018-07,Nou Barris,32.64705882352941
2018-07,Pedralbes,107.5
2018-07,Porta,37.51428571428571
2018-07,Provençals del Poblenou,71.45689655172414
2018-07,Sant Andreu,36.666666666666664
2018-07,Sant Andreu de Palomar,94.10666666666667
2018-07,Sant Antoni,89.13054187192118
2018-07,Sant Genís dels Agudells,46.95238095238095
2018-07,Sant Gervasi - Galvany,114.46830985915493
2018-07,Sant Gervasi - la Bonanova,75.56521739130434
2018-07,Sant Martí,254.84615384615384
2018-07,Sant Martí de Provençals,44.821917808219176
2018-07,Sant Pere/Santa Caterina,76.50121654501217
2018-07,Sants-Montjuïc,80.04132973944294
2018-07,Sarrià,82.71153846153847
2018-07,Sarrià-Sant Gervasi,97.5
2018-07,Torre Baró,40.714285714285715
2018-07,Trinitat Nova,46.5
2018-07,Turó de la Peira - Can Peguera,37.54545454545455
2018-07,Vallcarca i els Penitents,67.63207547169812
2018-07,Verdum - Los Roquetes,36.76190476190476
2018-07,Vila de Gràcia,98.18930481283422
2018-07,Vilapicina i la Torre Llobeta,37.22222222222222
2018-07,el Fort Pienc,105.93474088291747
2018-08,Baró de Viver,25.0
2018-08,Camp d'en Grassot i Gràcia Nova,106.42899408284023
2018-08,Can Baro,51.370370370370374
2018-08,Carmel,38.494623655913976
2018-08,Ciutat Vella,126.2
2018-08,Diagonal Mar - La Mar Bella,233.29299363057325
2018-08,Dreta de l'Eixample,159.7300785634119
2018-08,Eixample,74.70370370370371
2018-08,El Baix Guinardó,61.166666666666664
2018-08,El Besòs i el Maresme,52.782051282051285
2018-08,El Bon Pastor,33.84615384615385
2018-08,El Born,81.73346693386773
2018-08,El Camp de l'Arpa del Clot,66.03333333333333
2018-08,El Clot,53.04054054054054
2018-08,El Coll,53.977777777777774
2018-08,El Congrés i els Indians,78.86206896551724
2018-08,El Gòtic,77.04017094017094
2018-08,El Poble-sec,83.48851774530272
2018-08,El Poblenou,96.43162393162393
